File,Line,CWE, Defect Type, Defect Sub-Type
buffer_underrun_dynamic.c, 27,  Buffer Underwrite ('Buffer Underflow'),  Dynamic memory defects,  Dynamic buffer underrun
buffer_underrun_dynamic.c, 42,  Buffer Underwrite ('Buffer Underflow'),  Dynamic memory defects,  Dynamic buffer underrun
buffer_underrun_dynamic.c, 62,  Buffer Underwrite ('Buffer Underflow'),  Dynamic memory defects,  Dynamic buffer underrun
buffer_underrun_dynamic.c, 77,  Buffer Underwrite ('Buffer Underflow'),  Dynamic memory defects,  Dynamic buffer underrun
buffer_underrun_dynamic.c, 94,  Buffer Underwrite ('Buffer Underflow'),  Dynamic memory defects,  Dynamic buffer underrun
buffer_underrun_dynamic.c, 112,  Buffer Underwrite ('Buffer Underflow'),  Dynamic memory defects,  Dynamic buffer underrun
buffer_underrun_dynamic.c, 130,  Buffer Underwrite ('Buffer Underflow'),  Dynamic memory defects,  Dynamic buffer underrun
buffer_underrun_dynamic.c, 152,  Buffer Underwrite ('Buffer Underflow'),  Dynamic memory defects,  Dynamic buffer underrun
buffer_underrun_dynamic.c, 174,  Buffer Underwrite ('Buffer Underflow'),  Dynamic memory defects,  Dynamic buffer underrun
buffer_underrun_dynamic.c, 198,  Buffer Underwrite ('Buffer Underflow'),  Dynamic memory defects,  Dynamic buffer underrun
buffer_underrun_dynamic.c, 218,  Buffer Underwrite ('Buffer Underflow'),  Dynamic memory defects,  Dynamic buffer underrun
buffer_underrun_dynamic.c, 233,  Buffer Underwrite ('Buffer Underflow'),  Dynamic memory defects,  Dynamic buffer underrun
buffer_underrun_dynamic.c, 249,  Buffer Underwrite ('Buffer Underflow'),  Dynamic memory defects,  Dynamic buffer underrun
buffer_underrun_dynamic.c, 264,  Buffer Underwrite ('Buffer Underflow'),  Dynamic memory defects,  Dynamic buffer underrun
buffer_underrun_dynamic.c, 279,  Buffer Underwrite ('Buffer Underflow'),  Dynamic memory defects,  Dynamic buffer underrun
buffer_underrun_dynamic.c, 299,  Buffer Underwrite ('Buffer Underflow'),  Dynamic memory defects,  Dynamic buffer underrun
buffer_underrun_dynamic.c, 313,  Buffer Underwrite ('Buffer Underflow'),  Dynamic memory defects,  Dynamic buffer underrun
buffer_underrun_dynamic.c, 334,  Buffer Underwrite ('Buffer Underflow'),  Dynamic memory defects,  Dynamic buffer underrun
buffer_underrun_dynamic.c, 351,  Buffer Underwrite ('Buffer Underflow'),  Dynamic memory defects,  Dynamic buffer underrun
buffer_underrun_dynamic.c, 370,  Buffer Underwrite ('Buffer Underflow'),  Dynamic memory defects,  Dynamic buffer underrun
buffer_underrun_dynamic.c, 388,  Buffer Underwrite ('Buffer Underflow'),  Dynamic memory defects,  Dynamic buffer underrun
buffer_underrun_dynamic.c, 404,  Buffer Underwrite ('Buffer Underflow'),  Dynamic memory defects,  Dynamic buffer underrun
buffer_underrun_dynamic.c, 423,  Buffer Underwrite ('Buffer Underflow'),  Dynamic memory defects,  Dynamic buffer underrun
buffer_underrun_dynamic.c, 435,  Buffer Underwrite ('Buffer Underflow'),  Dynamic memory defects,  Dynamic buffer underrun
buffer_underrun_dynamic.c, 462,  Buffer Underwrite ('Buffer Underflow'),  Dynamic memory defects,  Dynamic buffer underrun
buffer_underrun_dynamic.c, 480,  Buffer Underwrite ('Buffer Underflow'),  Dynamic memory defects,  Dynamic buffer underrun
buffer_underrun_dynamic.c, 496,  Buffer Underwrite ('Buffer Underflow'),  Dynamic memory defects,  Dynamic buffer underrun
buffer_underrun_dynamic.c, 515,  Buffer Underwrite ('Buffer Underflow'),  Dynamic memory defects,  Dynamic buffer underrun
buffer_underrun_dynamic.c, 529,  Buffer Underwrite ('Buffer Underflow'),  Dynamic memory defects,  Dynamic buffer underrun
buffer_underrun_dynamic.c, 556,  Buffer Underwrite ('Buffer Underflow'),  Dynamic memory defects,  Dynamic buffer underrun
buffer_underrun_dynamic.c, 575,  Buffer Underwrite ('Buffer Underflow'),  Dynamic memory defects,  Dynamic buffer underrun
buffer_underrun_dynamic.c, 603,  Buffer Underwrite ('Buffer Underflow'),  Dynamic memory defects,  Dynamic buffer underrun
buffer_underrun_dynamic.c, 625,  Buffer Underwrite ('Buffer Underflow'),  Dynamic memory defects,  Dynamic buffer underrun
buffer_underrun_dynamic.c, 649,  Buffer Underwrite ('Buffer Underflow'),  Dynamic memory defects,  Dynamic buffer underrun
buffer_underrun_dynamic.c, 680,  Buffer Underwrite ('Buffer Underflow'),  Dynamic memory defects,  Dynamic buffer underrun
buffer_underrun_dynamic.c, 700,  Buffer Underwrite ('Buffer Underflow'),  Dynamic memory defects,  Dynamic buffer underrun
buffer_underrun_dynamic.c, 720,  Buffer Underwrite ('Buffer Underflow'),  Dynamic memory defects,  Dynamic buffer underrun
buffer_underrun_dynamic.c, 750,  Buffer Underwrite ('Buffer Underflow'),  Dynamic memory defects,  Dynamic buffer underrun
buffer_underrun_dynamic.c, 777,  Buffer Underwrite ('Buffer Underflow'),  Dynamic memory defects,  Dynamic buffer underrun
cmp_funcadr.c, 26,  Use of Incorrect Operator,  Pointer related defects,  Comparison NULL with function pointer
cmp_funcadr.c, 47,  Use of Incorrect Operator,  Pointer related defects,  Comparison NULL with function pointer
conflicting_cond.c, 25,  Indicator of Poor Code Quality,  Inappropriate code,  Contradict conditions
conflicting_cond.c, 44,  Indicator of Poor Code Quality,  Inappropriate code,  Contradict conditions
conflicting_cond.c, 63,  Indicator of Poor Code Quality,  Inappropriate code,  Contradict conditions
conflicting_cond.c, 85,  Indicator of Poor Code Quality,  Inappropriate code,  Contradict conditions
conflicting_cond.c, 105,  Indicator of Poor Code Quality,  Inappropriate code,  Contradict conditions
conflicting_cond.c, 120,  Indicator of Poor Code Quality,  Inappropriate code,  Contradict conditions
conflicting_cond.c, 139,  Indicator of Poor Code Quality,  Inappropriate code,  Contradict conditions
conflicting_cond.c, 159,  Indicator of Poor Code Quality,  Inappropriate code,  Contradict conditions
conflicting_cond.c, 179,  Indicator of Poor Code Quality,  Inappropriate code,  Contradict conditions
conflicting_cond.c, 201,  Indicator of Poor Code Quality,  Inappropriate code,  Contradict conditions
data_lost.c, 24,  Numeric Truncation Error,  Numerical defects,  Integer precision lost because of cast
data_lost.c, 36,  Numeric Truncation Error,  Numerical defects,  Integer precision lost because of cast
data_lost.c, 48,  Numeric Truncation Error,  Numerical defects,  Integer precision lost because of cast
data_lost.c, 60,  Numeric Truncation Error,  Numerical defects,  Integer precision lost because of cast
data_lost.c, 72,  Numeric Truncation Error,  Numerical defects,  Integer precision lost because of cast
data_lost.c, 85,  Numeric Truncation Error,  Numerical defects,  Integer precision lost because of cast
data_lost.c, 97,  Numeric Truncation Error,  Numerical defects,  Integer precision lost because of cast
data_lost.c, 109,  Numeric Truncation Error,  Numerical defects,  Integer precision lost because of cast
data_lost.c, 121,  Numeric Truncation Error,  Numerical defects,  Integer precision lost because of cast
data_lost.c, 138,  Numeric Truncation Error,  Numerical defects,  Integer precision lost because of cast
data_lost.c, 148,  Numeric Truncation Error,  Numerical defects,  Integer precision lost because of cast
data_lost.c, 161,  Numeric Truncation Error,  Numerical defects,  Integer precision lost because of cast
data_lost.c, 173,  Numeric Truncation Error,  Numerical defects,  Integer precision lost because of cast
data_lost.c, 185,  Numeric Truncation Error,  Numerical defects,  Integer precision lost because of cast
data_lost.c, 201,  Numeric Truncation Error,  Numerical defects,  Integer precision lost because of cast
data_lost.c, 212,  Numeric Truncation Error,  Numerical defects,  Integer precision lost because of cast
data_lost.c, 229,  Numeric Truncation Error,  Numerical defects,  Integer precision lost because of cast
data_lost.c, 243,  Numeric Truncation Error,  Numerical defects,  Integer precision lost because of cast
data_lost.c, 259,  Numeric Truncation Error,  Numerical defects,  Integer precision lost because of cast
data_overflow.c, 25,  Integer Overflow or Wraparound,  Numerical defects,  Data overflow
data_overflow.c, 37,  Integer Overflow or Wraparound,  Numerical defects,  Data overflow
data_overflow.c, 50,  Integer Overflow or Wraparound,  Numerical defects,  Data overflow
data_overflow.c, 62,  Integer Overflow or Wraparound,  Numerical defects,  Data overflow
data_overflow.c, 74,  Integer Overflow or Wraparound,  Numerical defects,  Data overflow
data_overflow.c, 86,  Integer Overflow or Wraparound,  Numerical defects,  Data overflow
data_overflow.c, 98,  Integer Overflow or Wraparound,  Numerical defects,  Data overflow
data_overflow.c, 110,  Integer Overflow or Wraparound,  Numerical defects,  Data overflow
data_overflow.c, 127,  Integer Overflow or Wraparound,  Numerical defects,  Data overflow
data_overflow.c, 143,  Integer Overflow or Wraparound,  Numerical defects,  Data overflow
data_overflow.c, 155,  Integer Overflow or Wraparound,  Numerical defects,  Data overflow
data_overflow.c, 167,  Integer Overflow or Wraparound,  Numerical defects,  Data overflow
data_overflow.c, 179,  Integer Overflow or Wraparound,  Numerical defects,  Data overflow
data_overflow.c, 192,  Integer Overflow or Wraparound,  Numerical defects,  Data overflow
data_overflow.c, 206,  Integer Overflow or Wraparound,  Numerical defects,  Data overflow
data_overflow.c, 218,  Integer Overflow or Wraparound,  Numerical defects,  Data overflow
data_overflow.c, 230,  Integer Overflow or Wraparound,  Numerical defects,  Data overflow
data_overflow.c, 247,  Integer Overflow or Wraparound,  Numerical defects,  Data overflow
data_overflow.c, 259,  Integer Overflow or Wraparound,  Numerical defects,  Data overflow
data_overflow.c, 277,  Integer Overflow or Wraparound,  Numerical defects,  Data overflow
data_overflow.c, 292,  Integer Overflow or Wraparound,  Numerical defects,  Data overflow
data_overflow.c, 309,  Integer Overflow or Wraparound,  Numerical defects,  Data overflow
data_overflow.c, 320,  Integer Overflow or Wraparound,  Numerical defects,  Data overflow
data_overflow.c, 336,  Integer Overflow or Wraparound,  Numerical defects,  Data overflow
data_overflow.c, 352,  Integer Overflow or Wraparound,  Numerical defects,  Data overflow
data_underflow.c, 20,  Integer Underflow (Wrap or Wraparound),  Numerical defects,  Data underflow
data_underflow.c, 32,  Integer Underflow (Wrap or Wraparound),  Numerical defects,  Data underflow
data_underflow.c, 46,  Integer Underflow (Wrap or Wraparound),  Numerical defects,  Data underflow
data_underflow.c, 58,  Integer Underflow (Wrap or Wraparound),  Numerical defects,  Data underflow
data_underflow.c, 70,  Integer Underflow (Wrap or Wraparound),  Numerical defects,  Data underflow
data_underflow.c, 81,  Integer Underflow (Wrap or Wraparound),  Numerical defects,  Data underflow
data_underflow.c, 96,  Integer Underflow (Wrap or Wraparound),  Numerical defects,  Data underflow
data_underflow.c, 111,  Integer Underflow (Wrap or Wraparound),  Numerical defects,  Data underflow
data_underflow.c, 123,  Integer Underflow (Wrap or Wraparound),  Numerical defects,  Data underflow
data_underflow.c, 140,  Integer Underflow (Wrap or Wraparound),  Numerical defects,  Data underflow
data_underflow.c, 152,  Integer Underflow (Wrap or Wraparound),  Numerical defects,  Data underflow
data_underflow.c, 170,  Integer Underflow (Wrap or Wraparound),  Numerical defects,  Data underflow
dead_code.c, 22,  Dead Code,  Inappropriate code,  Dead code
dead_code.c, 39,  Dead Code,  Inappropriate code,  Dead code
dead_code.c, 60,  Dead Code,  Inappropriate code,  Dead code
dead_code.c, 76,  Dead Code,  Inappropriate code,  Dead code
dead_code.c, 98,  Dead Code,  Inappropriate code,  Dead code
dead_code.c, 115,  Dead Code,  Inappropriate code,  Dead code
dead_code.c, 132,  Dead Code,  Inappropriate code,  Dead code
dead_code.c, 149,  Dead Code,  Inappropriate code,  Dead code
dead_code.c, 167,  Dead Code,  Inappropriate code,  Dead code
dead_code.c, 189,  Dead Code,  Inappropriate code,  Dead code
dead_code.c, 206,  Dead Code,  Inappropriate code,  Dead code
dead_code.c, 227,  Dead Code,  Inappropriate code,  Dead code
dead_code.c, 247,  Dead Code,  Inappropriate code,  Dead code
dead_lock.c, 62,  Deadlock,  Concurrency defects,  Dead lock
dead_lock.c, 194,  Deadlock,  Concurrency defects,  Dead lock
dead_lock.c, 343,  Deadlock,  Concurrency defects,  Dead lock
dead_lock.c, 500,  Deadlock,  Concurrency defects,  Dead lock
dead_lock.c, 623,  Deadlock,  Concurrency defects,  Dead lock
deletion_of_data_structure_sentinel.c, 26,  Deletion of Data Structure Sentinel,  Dynamic memory defects,  Deletion of data structure sentinel
deletion_of_data_structure_sentinel.c, 42,  Deletion of Data Structure Sentinel,  Dynamic memory defects,  Deletion of data structure sentinel
deletion_of_data_structure_sentinel.c, 63,  Deletion of Data Structure Sentinel,  Dynamic memory defects,  Deletion of data structure sentinel
double_free.c, 22,  Double Free,  Resource management defects,  Double free
double_free.c, 41,  Double Free,  Resource management defects,  Double free
double_free.c, 60,  Double Free,  Resource management defects,  Double free
double_free.c, 77,  Double Free,  Resource management defects,  Double free
double_free.c, 90,  Double Free,  Resource management defects,  Double free
double_free.c, 104,  Double Free,  Resource management defects,  Double free
double_free.c, 120,  Double Free,  Resource management defects,  Double free
double_free.c, 130,  Double Free,  Resource management defects,  Double free
double_free.c, 156,  Double Free,  Resource management defects,  Double free
double_free.c, 172,  Double Free,  Resource management defects,  Double free
double_free.c, 191,  Double Free,  Resource management defects,  Double free
double_free.c, 209,  Double Free,  Resource management defects,  Double free
double_lock.c, 45,  Improper Locking,  Concurrency defects,  Double lock
double_lock.c, 96,  Improper Locking,  Concurrency defects,  Double lock
double_lock.c, 143,  Improper Locking,  Concurrency defects,  Double lock
double_lock.c, 213,  Improper Locking,  Concurrency defects,  Double lock
double_release.c, 35,  Multiple Unlocks of a Critical Resource,  Concurrency defects,  Double release
double_release.c, 79,  Multiple Unlocks of a Critical Resource,  Concurrency defects,  Double release
double_release.c, 136,  Multiple Unlocks of a Critical Resource,  Concurrency defects,  Double release
double_release.c, 182,  Multiple Unlocks of a Critical Resource,  Concurrency defects,  Double release
double_release.c, 231,  Multiple Unlocks of a Critical Resource,  Concurrency defects,  Double release
double_release.c, 274,  Multiple Unlocks of a Critical Resource,  Concurrency defects,  Double release
endless_loop.c, 25,  Loop with Unreachable Exit Condition ('Infinite Loop'),  Misc defects,  Unintentional end less loop
endless_loop.c, 47,  Loop with Unreachable Exit Condition ('Infinite Loop'),  Misc defects,  Unintentional end less loop
endless_loop.c, 63,  Loop with Unreachable Exit Condition ('Infinite Loop'),  Misc defects,  Unintentional end less loop
endless_loop.c, 84,  Loop with Unreachable Exit Condition ('Infinite Loop'),  Misc defects,  Unintentional end less loop
endless_loop.c, 108,  Loop with Unreachable Exit Condition ('Infinite Loop'),  Misc defects,  Unintentional end less loop
endless_loop.c, 129,  Loop with Unreachable Exit Condition ('Infinite Loop'),  Misc defects,  Unintentional end less loop
endless_loop.c, 153,  Loop with Unreachable Exit Condition ('Infinite Loop'),  Misc defects,  Unintentional end less loop
endless_loop.c, 174,  Loop with Unreachable Exit Condition ('Infinite Loop'),  Misc defects,  Unintentional end less loop
endless_loop.c, 202,  Loop with Unreachable Exit Condition ('Infinite Loop'),  Misc defects,  Unintentional end less loop
free_nondynamically_allocated_memory.c, 23,  Free of Memory not on the Heap,  Resource management defects,  Free non dynamically allocated memory
free_nondynamically_allocated_memory.c, 36,  Free of Memory not on the Heap,  Resource management defects,  Free non dynamically allocated memory
free_nondynamically_allocated_memory.c, 48,  Free of Memory not on the Heap,  Resource management defects,  Free non dynamically allocated memory
free_nondynamically_allocated_memory.c, 62,  Free of Memory not on the Heap,  Resource management defects,  Free non dynamically allocated memory
free_nondynamically_allocated_memory.c, 85,  Free of Memory not on the Heap,  Resource management defects,  Free non dynamically allocated memory
free_nondynamically_allocated_memory.c, 103,  Free of Memory not on the Heap,  Resource management defects,  Free non dynamically allocated memory
free_nondynamically_allocated_memory.c, 115,  Free of Memory not on the Heap,  Resource management defects,  Free non dynamically allocated memory
free_nondynamically_allocated_memory.c, 128,  Free of Memory not on the Heap,  Resource management defects,  Free non dynamically allocated memory
free_nondynamically_allocated_memory.c, 141,  Free of Memory not on the Heap,  Resource management defects,  Free non dynamically allocated memory
free_nondynamically_allocated_memory.c, 156,  Free of Memory not on the Heap,  Resource management defects,  Free non dynamically allocated memory
free_nondynamically_allocated_memory.c, 171,  Free of Memory not on the Heap,  Resource management defects,  Free non dynamically allocated memory
free_nondynamically_allocated_memory.c, 188,  Free of Memory not on the Heap,  Resource management defects,  Free non dynamically allocated memory
free_nondynamically_allocated_memory.c, 210,  Free of Memory not on the Heap,  Resource management defects,  Free non dynamically allocated memory
free_nondynamically_allocated_memory.c, 229,  Free of Memory not on the Heap,  Resource management defects,  Free non dynamically allocated memory
free_nondynamically_allocated_memory.c, 239,  Free of Memory not on the Heap,  Resource management defects,  Free non dynamically allocated memory
free_nondynamically_allocated_memory.c, 262,  Free of Memory not on the Heap,  Resource management defects,  Free non dynamically allocated memory
free_null_pointer.c, 27,  NULL Pointer Dereference,  Pointer related defects,  Free NULL  pointer
free_null_pointer.c, 45,  NULL Pointer Dereference,  Pointer related defects,  Free NULL  pointer
free_null_pointer.c, 67,  NULL Pointer Dereference,  Pointer related defects,  Free NULL  pointer
free_null_pointer.c, 93,  NULL Pointer Dereference,  Pointer related defects,  Free NULL  pointer
free_null_pointer.c, 120,  NULL Pointer Dereference,  Pointer related defects,  Free NULL  pointer
free_null_pointer.c, 161,  NULL Pointer Dereference,  Pointer related defects,  Free NULL  pointer
free_null_pointer.c, 216,  NULL Pointer Dereference,  Pointer related defects,  Free NULL  pointer
free_null_pointer.c, 250,  NULL Pointer Dereference,  Pointer related defects,  Free NULL  pointer
free_null_pointer.c, 293,  NULL Pointer Dereference,  Pointer related defects,  Free NULL  pointer
free_null_pointer.c, 339,  NULL Pointer Dereference,  Pointer related defects,  Free NULL  pointer
free_null_pointer.c, 398,  NULL Pointer Dereference,  Pointer related defects,  Free NULL  pointer
free_null_pointer.c, 465,  NULL Pointer Dereference,  Pointer related defects,  Free NULL  pointer
free_null_pointer.c, 496,  NULL Pointer Dereference,  Pointer related defects,  Free NULL  pointer
free_null_pointer.c, 553,  NULL Pointer Dereference,  Pointer related defects,  Free NULL  pointer
func_pointer.c, 47,  Incorrect Type Conversion or Cast,  Pointer related defects,  Bad cast of a function pointer
func_pointer.c, 66,  Incorrect Type Conversion or Cast,  Pointer related defects,  Bad cast of a function pointer
func_pointer.c, 87,  Incorrect Type Conversion or Cast,  Pointer related defects,  Bad cast of a function pointer
func_pointer.c, 133,  Incorrect Type Conversion or Cast,  Pointer related defects,  Bad cast of a function pointer
func_pointer.c, 182,  Incorrect Type Conversion or Cast,  Pointer related defects,  Bad cast of a function pointer
func_pointer.c, 266,  Incorrect Type Conversion or Cast,  Pointer related defects,  Bad cast of a function pointer
func_pointer.c, 297,  Incorrect Type Conversion or Cast,  Pointer related defects,  Bad cast of a function pointer
func_pointer.c, 320,  Incorrect Type Conversion or Cast,  Pointer related defects,  Bad cast of a function pointer
func_pointer.c, 364,  Incorrect Type Conversion or Cast,  Pointer related defects,  Bad cast of a function pointer
func_pointer.c, 389,  Incorrect Type Conversion or Cast,  Pointer related defects,  Bad cast of a function pointer
func_pointer.c, 442,  Incorrect Type Conversion or Cast,  Pointer related defects,  Bad cast of a function pointer
func_pointer.c, 481,  Incorrect Type Conversion or Cast,  Pointer related defects,  Bad cast of a function pointer
func_pointer.c, 513,  Incorrect Type Conversion or Cast,  Pointer related defects,  Bad cast of a function pointer
func_pointer.c, 565,  Incorrect Type Conversion or Cast,  Pointer related defects,  Bad cast of a function pointer
func_pointer.c, 619,  Incorrect Type Conversion or Cast,  Pointer related defects,  Bad cast of a function pointer
function_return_value_unchecked.c, 49,  Unchecked Return Value,  Inappropriate code,  Return value of function never checked
function_return_value_unchecked.c, 71,  Unchecked Return Value,  Inappropriate code,  Return value of function never checked
function_return_value_unchecked.c, 88,  Unchecked Return Value,  Inappropriate code,  Return value of function never checked
function_return_value_unchecked.c, 118,  Unchecked Return Value,  Inappropriate code,  Return value of function never checked
function_return_value_unchecked.c, 173,  Unchecked Return Value,  Inappropriate code,  Return value of function never checked
function_return_value_unchecked.c, 212,  Unchecked Return Value,  Inappropriate code,  Return value of function never checked
function_return_value_unchecked.c, 239,  Unchecked Return Value,  Inappropriate code,  Return value of function never checked
function_return_value_unchecked.c, 257,  Unchecked Return Value,  Inappropriate code,  Return value of function never checked
function_return_value_unchecked.c, 295,  Unchecked Return Value,  Inappropriate code,  Return value of function never checked
function_return_value_unchecked.c, 311,  Unchecked Return Value,  Inappropriate code,  Return value of function never checked
function_return_value_unchecked.c, 335,  Unchecked Return Value,  Inappropriate code,  Return value of function never checked
function_return_value_unchecked.c, 350,  Unchecked Return Value,  Inappropriate code,  Return value of function never checked
function_return_value_unchecked.c, 371,  Unchecked Return Value,  Inappropriate code,  Return value of function never checked
function_return_value_unchecked.c, 387,  Unchecked Return Value,  Inappropriate code,  Return value of function never checked
function_return_value_unchecked.c, 404,  Unchecked Return Value,  Inappropriate code,  Return value of function never checked
function_return_value_unchecked.c, 444,  Unchecked Return Value,  Inappropriate code,  Return value of function never checked
improper_termination_of_block.c, 23,  Incorrect Block Delimitation,  Inappropriate code,  Improper termination of block
improper_termination_of_block.c, 40,  Incorrect Block Delimitation,  Inappropriate code,  Improper termination of block
improper_termination_of_block.c, 57,  Incorrect Block Delimitation,  Inappropriate code,  Improper termination of block
improper_termination_of_block.c, 73,  Incorrect Block Delimitation,  Inappropriate code,  Improper termination of block
insign_code.c, 25,  Assignment to Variable without Use ('Unused Variable'),  Misc defects,  Useless assignment
invalid_extern.c, 20,  Access of Resource Using Incompatible Type ('Type Confusion'),  Misc defects,  Bad extern type for global variable
invalid_extern.c, 21,  Access of Resource Using Incompatible Type ('Type Confusion'),  Misc defects,  Bad extern type for global variable
invalid_extern.c, 22,  Access of Resource Using Incompatible Type ('Type Confusion'),  Misc defects,  Bad extern type for global variable
invalid_extern.c, 23,  Access of Resource Using Incompatible Type ('Type Confusion'),  Misc defects,  Bad extern type for global variable
invalid_extern.c, 24,  Access of Resource Using Incompatible Type ('Type Confusion'),  Misc defects,  Bad extern type for global variable
invalid_extern.c, 31,  Access of Resource Using Incompatible Type ('Type Confusion'),  Misc defects,  Bad extern type for global variable
invalid_memory_access.c, 41,  Use After Free,  Resource management defects,  Invalid memory access to already freed area
invalid_memory_access.c, 73,  Use After Free,  Resource management defects,  Invalid memory access to already freed area
invalid_memory_access.c, 108,  Use After Free,  Resource management defects,  Invalid memory access to already freed area
invalid_memory_access.c, 131,  Use After Free,  Resource management defects,  Invalid memory access to already freed area
invalid_memory_access.c, 156,  Use After Free,  Resource management defects,  Invalid memory access to already freed area
invalid_memory_access.c, 186,  Use After Free,  Resource management defects,  Invalid memory access to already freed area
invalid_memory_access.c, 213,  Use After Free,  Resource management defects,  Invalid memory access to already freed area
