File, Line, Error
bit_shift.c , 246 , " high npath complexity [size|P2] NPath Complexity Number 129140163 exceeds limit of 200"
bit_shift.c , 246 , " long method [size|P3] Method with 86 lines exceeds limit of 50"
bit_shift.c , 246 , " high cyclomatic complexity [size|P2] Cyclomatic Complexity Number 35 exceeds limit of 10"
invalid_memory_access.c , 448 , " collapsible if statements [basic|P3]"
invalid_memory_access.c , 152 , " unnecessary else statement [redundant|P3]"
invalid_memory_access.c , 525 , " unnecessary else statement [redundant|P3]"
invalid_memory_access.c , 105 , " constant conditional operator [basic|P2]"
invalid_memory_access.c , 213 , " constant conditional operator [basic|P2]"
invalid_memory_access.c , 567 , " constant conditional operator [basic|P2]"
invalid_memory_access.c , 576 , " constant conditional operator [basic|P2]"
invalid_memory_access.c , 622 , " constant conditional operator [basic|P2]"
invalid_memory_access.c , 634 , " constant conditional operator [basic|P2]"
invalid_memory_access.c , 31 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
invalid_memory_access.c , 60 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
invalid_memory_access.c , 98 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
invalid_memory_access.c , 99 , " short variable name [naming|P3] Length of variable name `c` is 1, which is shorter than the threshold of 3"
invalid_memory_access.c , 176 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
invalid_memory_access.c , 176 , " short variable name [naming|P3] Length of variable name `j` is 1, which is shorter than the threshold of 3"
invalid_memory_access.c , 206 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
invalid_memory_access.c , 265 , " short variable name [naming|P3] Length of variable name `u` is 1, which is shorter than the threshold of 3"
invalid_memory_access.c , 266 , " short variable name [naming|P3] Length of variable name `p` is 1, which is shorter than the threshold of 3"
invalid_memory_access.c , 289 , " short variable name [naming|P3] Length of variable name `p` is 1, which is shorter than the threshold of 3"
invalid_memory_access.c , 296 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
invalid_memory_access.c , 311 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
invalid_memory_access.c , 311 , " short variable name [naming|P3] Length of variable name `j` is 1, which is shorter than the threshold of 3"
invalid_memory_access.c , 344 , " short variable name [naming|P3] Length of variable name `s` is 1, which is shorter than the threshold of 3"
invalid_memory_access.c , 346 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
invalid_memory_access.c , 409 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
invalid_memory_access.c , 447 , " short variable name [naming|P3] Length of variable name `s` is 1, which is shorter than the threshold of 3"
invalid_memory_access.c , 475 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
invalid_memory_access.c , 505 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
invalid_memory_access.c , 506 , " short variable name [naming|P3] Length of variable name `j` is 1, which is shorter than the threshold of 3"
invalid_memory_access.c , 531 , " short variable name [naming|P3] Length of variable name `j` is 1, which is shorter than the threshold of 3"
invalid_memory_access.c , 560 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
invalid_memory_access.c , 574 , " short variable name [naming|P3] Length of variable name `s` is 1, which is shorter than the threshold of 3"
invalid_memory_access.c , 582 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
invalid_memory_access.c , 632 , " short variable name [naming|P3] Length of variable name `s` is 1, which is shorter than the threshold of 3"
invalid_memory_access.c , 744 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
invalid_memory_access.c , 160 , " useless parentheses [redundant|P3]"
invalid_memory_access.c , 675 , " high ncss method [size|P2] Method of 37 non-commenting source statements exceeds limit of 30"
invalid_memory_access.c , 27 , " long line [size|P3] Line with 112 characters exceeds limit of 100"
invalid_memory_access.c , 41 , " long line [size|P3] Line with 125 characters exceeds limit of 100"
invalid_memory_access.c , 55 , " long line [size|P3] Line with 102 characters exceeds limit of 100"
invalid_memory_access.c , 73 , " long line [size|P3] Line with 121 characters exceeds limit of 100"
invalid_memory_access.c , 108 , " long line [size|P3] Line with 123 characters exceeds limit of 100"
invalid_memory_access.c , 120 , " long line [size|P3] Line with 123 characters exceeds limit of 100"
invalid_memory_access.c , 131 , " long line [size|P3] Line with 133 characters exceeds limit of 100"
invalid_memory_access.c , 156 , " long line [size|P3] Line with 136 characters exceeds limit of 100"
invalid_memory_access.c , 186 , " long line [size|P3] Line with 129 characters exceeds limit of 100"
invalid_memory_access.c , 213 , " long line [size|P3] Line with 131 characters exceeds limit of 100"
invalid_memory_access.c , 232 , " long line [size|P3] Line with 125 characters exceeds limit of 100"
invalid_memory_access.c , 265 , " long line [size|P3] Line with 132 characters exceeds limit of 100"
invalid_memory_access.c , 275 , " long line [size|P3] Line with 120 characters exceeds limit of 100"
invalid_memory_access.c , 300 , " long line [size|P3] Line with 124 characters exceeds limit of 100"
invalid_memory_access.c , 320 , " long line [size|P3] Line with 127 characters exceeds limit of 100"
invalid_memory_access.c , 355 , " long line [size|P3] Line with 126 characters exceeds limit of 100"
invalid_memory_access.c , 404 , " long line [size|P3] Line with 126 characters exceeds limit of 100"
invalid_memory_access.c , 416 , " long line [size|P3] Line with 153 characters exceeds limit of 100"
invalid_memory_access.c , 483 , " long line [size|P3] Line with 120 characters exceeds limit of 100"
invalid_memory_access.c , 516 , " long line [size|P3] Line with 144 characters exceeds limit of 100"
invalid_memory_access.c , 576 , " long line [size|P3] Line with 157 characters exceeds limit of 100"
invalid_memory_access.c , 606 , " long line [size|P3] Line with 123 characters exceeds limit of 100"
invalid_memory_access.c , 634 , " long line [size|P3] Line with 154 characters exceeds limit of 100"
invalid_memory_access.c , 168 , " high npath complexity [size|P2] NPath Complexity Number 384 exceeds limit of 200"
invalid_memory_access.c , 675 , " high npath complexity [size|P2] NPath Complexity Number 129140163 exceeds limit of 200"
invalid_memory_access.c , 675 , " long method [size|P3] Method with 88 lines exceeds limit of 50"
invalid_memory_access.c , 508 , " inverted logic [convention|P3]"
invalid_memory_access.c , 21 , " long variable name [naming|P3] Length of variable name `invalid_memory_access_016_doubleptr_gbl` is 39, which is longer than the threshold of 20"
invalid_memory_access.c , 22 , " long variable name [naming|P3] Length of variable name `invalid_memory_access_017_doubleptr_gbl` is 39, which is longer than the threshold of 20"
invalid_memory_access.c , 399 , " long variable name [naming|P3] Length of variable name `invalid_memory_access_013_s_001_s_gbl` is 37, which is longer than the threshold of 20"
invalid_memory_access.c , 480 , " goto statement [basic|P3]"
invalid_memory_access.c , 484 , " goto statement [basic|P3]"
invalid_memory_access.c , 347 , " too few branches in switch statement [convention|P3]"
invalid_memory_access.c , 410 , " too few branches in switch statement [convention|P3]"
invalid_memory_access.c , 675 , " high cyclomatic complexity [size|P2] Cyclomatic Complexity Number 35 exceeds limit of 10"
data_overflow.c , 125 , " short variable name [naming|P3] Length of variable name `s` is 1, which is shorter than the threshold of 3"
data_overflow.c , 141 , " short variable name [naming|P3] Length of variable name `s` is 1, which is shorter than the threshold of 3"
data_overflow.c , 190 , " short variable name [naming|P3] Length of variable name `d` is 1, which is shorter than the threshold of 3"
data_overflow.c , 203 , " short variable name [naming|P3] Length of variable name `d` is 1, which is shorter than the threshold of 3"
data_overflow.c , 255 , " short variable name [naming|P3] Length of variable name `d` is 1, which is shorter than the threshold of 3"
data_overflow.c , 288 , " short variable name [naming|P3] Length of variable name `d` is 1, which is shorter than the threshold of 3"
data_overflow.c , 289 , " short variable name [naming|P3] Length of variable name `d1` is 2, which is shorter than the threshold of 3"
data_overflow.c , 303 , " short variable name [naming|P3] Length of variable name `d` is 1, which is shorter than the threshold of 3"
data_overflow.c , 304 , " short variable name [naming|P3] Length of variable name `d1` is 2, which is shorter than the threshold of 3"
data_overflow.c , 305 , " short variable name [naming|P3] Length of variable name `d2` is 2, which is shorter than the threshold of 3"
data_overflow.c , 361 , " high ncss method [size|P2] Method of 51 non-commenting source statements exceeds limit of 30"
data_overflow.c , 247 , " long line [size|P3] Line with 114 characters exceeds limit of 100"
data_overflow.c , 336 , " long line [size|P3] Line with 101 characters exceeds limit of 100"
data_overflow.c , 352 , " long line [size|P3] Line with 109 characters exceeds limit of 100"
data_overflow.c , 361 , " high npath complexity [size|P2] NPath Complexity Number 1180052131 exceeds limit of 200"
data_overflow.c , 361 , " long method [size|P3] Method with 126 lines exceeds limit of 50"
data_overflow.c , 361 , " high cyclomatic complexity [size|P2] Cyclomatic Complexity Number 51 exceeds limit of 10"
livelock.c , 25 , " unused method parameter [unused|P3] The parameter 'pram' is unused."
livelock.c , 43 , " unused method parameter [unused|P3] The parameter 'pram' is unused."
livelock.c , 23 , " short variable name [naming|P3] Length of variable name `x` is 1, which is shorter than the threshold of 3"
livelock.c , 23 , " short variable name [naming|P3] Length of variable name `y` is 1, which is shorter than the threshold of 3"
livelock.c , 40 , " useless parentheses [redundant|P3]"
livelock.c , 58 , " useless parentheses [redundant|P3]"
livelock.c , 32 , " long line [size|P3] Line with 125 characters exceeds limit of 100"
ptr_subtraction.c , 33 , " short variable name [naming|P3] Length of variable name `x` is 1, which is shorter than the threshold of 3"
ptr_subtraction.c , 23 , " long line [size|P3] Line with 110 characters exceeds limit of 100"
not_return.c , 26 , " unnecessary else statement [redundant|P3]"
not_return.c , 53 , " unnecessary else statement [redundant|P3]"
not_return.c , 100 , " goto statement [basic|P3]"
underrun_st.c , 56 , " short variable name [naming|P3] Length of variable name `p` is 1, which is shorter than the threshold of 3"
underrun_st.c , 70 , " short variable name [naming|P3] Length of variable name `p` is 1, which is shorter than the threshold of 3"
underrun_st.c , 82 , " short variable name [naming|P3] Length of variable name `p` is 1, which is shorter than the threshold of 3"
underrun_st.c , 95 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
underrun_st.c , 110 , " short variable name [naming|P3] Length of variable name `p` is 1, which is shorter than the threshold of 3"
underrun_st.c , 111 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
underrun_st.c , 127 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
underrun_st.c , 141 , " short variable name [naming|P3] Length of variable name `p` is 1, which is shorter than the threshold of 3"
underrun_st.c , 142 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
underrun_st.c , 158 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
underrun_st.c , 173 , " short variable name [naming|P3] Length of variable name `p` is 1, which is shorter than the threshold of 3"
underrun_st.c , 175 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
underrun_st.c , 191 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
underrun_st.c , 130 , " long line [size|P3] Line with 106 characters exceeds limit of 100"
underrun_st.c , 161 , " long line [size|P3] Line with 106 characters exceeds limit of 100"
underrun_st.c , 196 , " long line [size|P3] Line with 106 characters exceeds limit of 100"
underrun_st.c , 206 , " high npath complexity [size|P2] NPath Complexity Number 1594323 exceeds limit of 200"
underrun_st.c , 206 , " long method [size|P3] Method with 66 lines exceeds limit of 50"
underrun_st.c , 124 , " long variable name [naming|P3] Length of variable name `underrun_st_009_gbl_buf` is 23, which is longer than the threshold of 20"
underrun_st.c , 138 , " long variable name [naming|P3] Length of variable name `underrun_st_010_gbl_buf` is 23, which is longer than the threshold of 20"
underrun_st.c , 155 , " long variable name [naming|P3] Length of variable name `underrun_st_011_gbl_buf` is 23, which is longer than the threshold of 20"
underrun_st.c , 170 , " long variable name [naming|P3] Length of variable name `underrun_st_012_gbl_buf` is 23, which is longer than the threshold of 20"
underrun_st.c , 188 , " long variable name [naming|P3] Length of variable name `underrun_st_013_gbl_buf` is 23, which is longer than the threshold of 20"
underrun_st.c , 206 , " high cyclomatic complexity [size|P2] Cyclomatic Complexity Number 27 exceeds limit of 10"
sign_conv.c , 22 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
sign_conv.c , 34 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
sign_conv.c , 46 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
sign_conv.c , 58 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
sign_conv.c , 70 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
sign_conv.c , 82 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
sign_conv.c , 94 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
sign_conv.c , 106 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
sign_conv.c , 123 , " short variable name [naming|P3] Length of variable name `s` is 1, which is shorter than the threshold of 3"
sign_conv.c , 139 , " short variable name [naming|P3] Length of variable name `s` is 1, which is shorter than the threshold of 3"
sign_conv.c , 161 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
sign_conv.c , 177 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
sign_conv.c , 189 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
sign_conv.c , 215 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
sign_conv.c , 242 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
sign_conv.c , 243 , " short variable name [naming|P3] Length of variable name `a1` is 2, which is shorter than the threshold of 3"
sign_conv.c , 256 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
sign_conv.c , 257 , " short variable name [naming|P3] Length of variable name `a1` is 2, which is shorter than the threshold of 3"
sign_conv.c , 258 , " short variable name [naming|P3] Length of variable name `a2` is 2, which is shorter than the threshold of 3"
sign_conv.c , 271 , " high ncss method [size|P2] Method of 39 non-commenting source statements exceeds limit of 30"
sign_conv.c , 24 , " long line [size|P3] Line with 114 characters exceeds limit of 100"
sign_conv.c , 36 , " long line [size|P3] Line with 114 characters exceeds limit of 100"
sign_conv.c , 48 , " long line [size|P3] Line with 114 characters exceeds limit of 100"
sign_conv.c , 60 , " long line [size|P3] Line with 114 characters exceeds limit of 100"
sign_conv.c , 72 , " long line [size|P3] Line with 114 characters exceeds limit of 100"
sign_conv.c , 84 , " long line [size|P3] Line with 114 characters exceeds limit of 100"
sign_conv.c , 96 , " long line [size|P3] Line with 114 characters exceeds limit of 100"
sign_conv.c , 108 , " long line [size|P3] Line with 114 characters exceeds limit of 100"
sign_conv.c , 125 , " long line [size|P3] Line with 118 characters exceeds limit of 100"
sign_conv.c , 141 , " long line [size|P3] Line with 118 characters exceeds limit of 100"
sign_conv.c , 151 , " long line [size|P3] Line with 123 characters exceeds limit of 100"
sign_conv.c , 167 , " long line [size|P3] Line with 114 characters exceeds limit of 100"
sign_conv.c , 179 , " long line [size|P3] Line with 124 characters exceeds limit of 100"
sign_conv.c , 191 , " long line [size|P3] Line with 124 characters exceeds limit of 100"
sign_conv.c , 207 , " long line [size|P3] Line with 152 characters exceeds limit of 100"
sign_conv.c , 217 , " long line [size|P3] Line with 129 characters exceeds limit of 100"
sign_conv.c , 233 , " long line [size|P3] Line with 152 characters exceeds limit of 100"
sign_conv.c , 246 , " long line [size|P3] Line with 112 characters exceeds limit of 100"
sign_conv.c , 262 , " long line [size|P3] Line with 112 characters exceeds limit of 100"
sign_conv.c , 271 , " high npath complexity [size|P2] NPath Complexity Number 1162261467 exceeds limit of 200"
sign_conv.c , 271 , " long method [size|P3] Method with 96 lines exceeds limit of 50"
sign_conv.c , 199 , " long variable name [naming|P3] Length of variable name `sign_conv_015_gbl_ret` is 21, which is longer than the threshold of 20"
sign_conv.c , 214 , " long variable name [naming|P3] Length of variable name `sign_conv_016_gbl_ret` is 21, which is longer than the threshold of 20"
sign_conv.c , 229 , " long variable name [naming|P3] Length of variable name `sign_conv_017_gbl_buf` is 21, which is longer than the threshold of 20"
sign_conv.c , 230 , " long variable name [naming|P3] Length of variable name `sign_conv_017_gbl_ret` is 21, which is longer than the threshold of 20"
sign_conv.c , 271 , " high cyclomatic complexity [size|P2] Cyclomatic Complexity Number 39 exceeds limit of 10"
buffer_overrun_dynamic.c , 21 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
buffer_overrun_dynamic.c , 54 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
buffer_overrun_dynamic.c , 88 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
buffer_overrun_dynamic.c , 106 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
buffer_overrun_dynamic.c , 124 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
buffer_overrun_dynamic.c , 142 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
buffer_overrun_dynamic.c , 142 , " short variable name [naming|P3] Length of variable name `j` is 1, which is shorter than the threshold of 3"
buffer_overrun_dynamic.c , 170 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
buffer_overrun_dynamic.c , 170 , " short variable name [naming|P3] Length of variable name `j` is 1, which is shorter than the threshold of 3"
buffer_overrun_dynamic.c , 214 , " short variable name [naming|P3] Length of variable name `s` is 1, which is shorter than the threshold of 3"
buffer_overrun_dynamic.c , 380 , " short variable name [naming|P3] Length of variable name `p1` is 2, which is shorter than the threshold of 3"
buffer_overrun_dynamic.c , 381 , " short variable name [naming|P3] Length of variable name `p2` is 2, which is shorter than the threshold of 3"
buffer_overrun_dynamic.c , 398 , " short variable name [naming|P3] Length of variable name `p` is 1, which is shorter than the threshold of 3"
buffer_overrun_dynamic.c , 414 , " short variable name [naming|P3] Length of variable name `p` is 1, which is shorter than the threshold of 3"
buffer_overrun_dynamic.c , 415 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
buffer_overrun_dynamic.c , 456 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
buffer_overrun_dynamic.c , 475 , " short variable name [naming|P3] Length of variable name `p` is 1, which is shorter than the threshold of 3"
buffer_overrun_dynamic.c , 491 , " short variable name [naming|P3] Length of variable name `p` is 1, which is shorter than the threshold of 3"
buffer_overrun_dynamic.c , 508 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
buffer_overrun_dynamic.c , 525 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
buffer_overrun_dynamic.c , 545 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
buffer_overrun_dynamic.c , 545 , " short variable name [naming|P3] Length of variable name `j` is 1, which is shorter than the threshold of 3"
buffer_overrun_dynamic.c , 571 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
buffer_overrun_dynamic.c , 573 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
buffer_overrun_dynamic.c , 601 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
buffer_overrun_dynamic.c , 617 , " high ncss method [size|P2] Method of 65 non-commenting source statements exceeds limit of 30"
buffer_overrun_dynamic.c , 214 , " long line [size|P3] Line with 125 characters exceeds limit of 100"
buffer_overrun_dynamic.c , 262 , " long line [size|P3] Line with 109 characters exceeds limit of 100"
buffer_overrun_dynamic.c , 277 , " long line [size|P3] Line with 108 characters exceeds limit of 100"
buffer_overrun_dynamic.c , 297 , " long line [size|P3] Line with 127 characters exceeds limit of 100"
buffer_overrun_dynamic.c , 332 , " long line [size|P3] Line with 104 characters exceeds limit of 100"
buffer_overrun_dynamic.c , 558 , " long line [size|P3] Line with 102 characters exceeds limit of 100"
buffer_overrun_dynamic.c , 617 , " long method [size|P3] Method with 162 lines exceeds limit of 50"
buffer_overrun_dynamic.c , 617 , " high cyclomatic complexity [size|P2] Cyclomatic Complexity Number 65 exceeds limit of 10"
uninit_pointer.c , 197 , " constant conditional operator [basic|P2]"
uninit_pointer.c , 400 , " constant conditional operator [basic|P2]"
uninit_pointer.c , 423 , " constant conditional operator [basic|P2]"
uninit_pointer.c , 27 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
uninit_pointer.c , 28 , " short variable name [naming|P3] Length of variable name `p` is 1, which is shorter than the threshold of 3"
uninit_pointer.c , 40 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
uninit_pointer.c , 41 , " short variable name [naming|P3] Length of variable name `p` is 1, which is shorter than the threshold of 3"
uninit_pointer.c , 51 , " short variable name [naming|P3] Length of variable name `pp` is 2, which is shorter than the threshold of 3"
uninit_pointer.c , 52 , " short variable name [naming|P3] Length of variable name `p` is 1, which is shorter than the threshold of 3"
uninit_pointer.c , 53 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
uninit_pointer.c , 65 , " short variable name [naming|P3] Length of variable name `p` is 1, which is shorter than the threshold of 3"
uninit_pointer.c , 73 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
uninit_pointer.c , 74 , " short variable name [naming|P3] Length of variable name `p` is 1, which is shorter than the threshold of 3"
uninit_pointer.c , 109 , " short variable name [naming|P3] Length of variable name `pp` is 2, which is shorter than the threshold of 3"
uninit_pointer.c , 116 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
uninit_pointer.c , 117 , " short variable name [naming|P3] Length of variable name `p` is 1, which is shorter than the threshold of 3"
uninit_pointer.c , 134 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
uninit_pointer.c , 134 , " short variable name [naming|P3] Length of variable name `j` is 1, which is shorter than the threshold of 3"
uninit_pointer.c , 158 , " short variable name [naming|P3] Length of variable name `p` is 1, which is shorter than the threshold of 3"
uninit_pointer.c , 165 , " short variable name [naming|P3] Length of variable name `s` is 1, which is shorter than the threshold of 3"
uninit_pointer.c , 226 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
uninit_pointer.c , 228 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
uninit_pointer.c , 259 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
uninit_pointer.c , 277 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
uninit_pointer.c , 277 , " short variable name [naming|P3] Length of variable name `j` is 1, which is shorter than the threshold of 3"
uninit_pointer.c , 308 , " short variable name [naming|P3] Length of variable name `s` is 1, which is shorter than the threshold of 3"
uninit_pointer.c , 345 , " short variable name [naming|P3] Length of variable name `r` is 1, which is shorter than the threshold of 3"
uninit_pointer.c , 373 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
uninit_pointer.c , 393 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
uninit_pointer.c , 407 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
uninit_pointer.c , 408 , " short variable name [naming|P3] Length of variable name `s` is 1, which is shorter than the threshold of 3"
uninit_pointer.c , 438 , " high ncss method [size|P2] Method of 33 non-commenting source statements exceeds limit of 30"
uninit_pointer.c , 237 , " avoid branching statement as last in loop [convention|P2]"
uninit_pointer.c , 245 , " avoid branching statement as last in loop [convention|P2]"
uninit_pointer.c , 8 , " long line [size|P3] Line with 117 characters exceeds limit of 100"
uninit_pointer.c , 75 , " long line [size|P3] Line with 113 characters exceeds limit of 100"
uninit_pointer.c , 102 , " long line [size|P3] Line with 116 characters exceeds limit of 100"
uninit_pointer.c , 138 , " long line [size|P3] Line with 111 characters exceeds limit of 100"
uninit_pointer.c , 169 , " long line [size|P3] Line with 114 characters exceeds limit of 100"
uninit_pointer.c , 197 , " long line [size|P3] Line with 103 characters exceeds limit of 100"
uninit_pointer.c , 243 , " long line [size|P3] Line with 104 characters exceeds limit of 100"
uninit_pointer.c , 266 , " long line [size|P3] Line with 102 characters exceeds limit of 100"
uninit_pointer.c , 289 , " long line [size|P3] Line with 110 characters exceeds limit of 100"
uninit_pointer.c , 300 , " long line [size|P3] Line with 128 characters exceeds limit of 100"
uninit_pointer.c , 374 , " long line [size|P3] Line with 118 characters exceeds limit of 100"
uninit_pointer.c , 423 , " long line [size|P3] Line with 132 characters exceeds limit of 100"
uninit_pointer.c , 438 , " high npath complexity [size|P2] NPath Complexity Number 43046721 exceeds limit of 200"
uninit_pointer.c , 438 , " long method [size|P3] Method with 81 lines exceeds limit of 50"
uninit_pointer.c , 20 , " long variable name [naming|P3] Length of variable name `uninit_pointer_016_gbl_doubleptr` is 32, which is longer than the threshold of 20"
uninit_pointer.c , 311 , " too few branches in switch statement [convention|P3]"
uninit_pointer.c , 438 , " high cyclomatic complexity [size|P2] Cyclomatic Complexity Number 33 exceeds limit of 10"
data_lost.c , 23 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
data_lost.c , 35 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
data_lost.c , 47 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
data_lost.c , 59 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
data_lost.c , 71 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
